,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,popularity,artist_followers
0,0.675,0.739,6,-4.603,0,0.0524,0.387,0.0,0.177,0.338,149.959,3gUzi41YOt3VExeyHSLsMj,spotify:track:3gUzi41YOt3VExeyHSLsMj,237701,4,68,1688664
1,0.855,0.805,7,-5.651,0,0.191,0.764,0.00708,0.302,0.469,135.009,4EC028SvtlC25iHQSG2OIa,spotify:track:4EC028SvtlC25iHQSG2OIa,195556,4,81,206620
2,0.737,0.858,8,-3.589,1,0.0527,0.0124,0.0,0.382,0.919,144.991,1A2tINguEx8NRA8WHmpUJw,spotify:track:1A2tINguEx8NRA8WHmpUJw,187862,4,54,1829803
3,0.889,0.618,5,-5.124,0,0.0627,0.367,0.00438,0.105,0.444,130.021,3h043RAJ7tKaG1HDFeet6w,spotify:track:3h043RAJ7tKaG1HDFeet6w,247385,4,80,353875
4,0.739,0.81,11,-5.317,0,0.0311,0.0409,0.0,0.122,0.948,127.972,7iLuBTHJSXM2HalKHFqEEy,spotify:track:7iLuBTHJSXM2HalKHFqEEy,212967,4,79,881774
5,0.803,0.709,9,-6.54,0,0.0432,0.0769,0.0,0.286,0.706,121.947,3fIB4IEcvjlzItwnFUvIBk,spotify:track:3fIB4IEcvjlzItwnFUvIBk,164328,4,77,451856
6,0.927,0.591,11,-5.69,1,0.119,0.0165,2.87e-06,0.208,0.752,120.036,3YjriLRvztHSDJOZRTTiQz,spotify:track:3YjriLRvztHSDJOZRTTiQz,172000,4,76,620931
7,0.661,0.775,6,-5.656,0,0.0378,0.123,0.0,0.237,0.81,139.975,1v9ABGLSpdhPDEWyQ10NFD,spotify:track:1v9ABGLSpdhPDEWyQ10NFD,212985,4,72,2221468
8,0.742,0.808,4,-5.206,1,0.059,0.279,9.85e-06,0.325,0.846,74.992,3z0GeNGWyVduziP1cQ0mFN,spotify:track:3z0GeNGWyVduziP1cQ0mFN,160000,4,79,1782528
9,0.683,0.852,0,-2.755,1,0.0636,0.0454,0.0,0.246,0.448,93.068,1XpmMe95dk9jh3zuOMpeU2,spotify:track:1XpmMe95dk9jh3zuOMpeU2,199680,4,77,3262631
10,0.848,0.803,2,-5.883,1,0.144,0.0771,0.0,0.297,0.864,127.972,4aKM9cfIDynkoNQdVyMZFW,spotify:track:4aKM9cfIDynkoNQdVyMZFW,197760,4,61,1392091
11,0.481,0.748,6,-6.007,0,0.356,0.132,7.77e-06,0.126,0.549,128.777,6oYcyS6salzWI1ysjEScFh,spotify:track:6oYcyS6salzWI1ysjEScFh,188975,4,78,1181385
12,0.796,0.842,7,-6.94,1,0.231,0.033,5.2e-05,0.178,0.691,126.008,0RFRr1i6USZRE66r5vB9OT,spotify:track:0RFRr1i6USZRE66r5vB9OT,171905,4,65,119007
13,0.819,0.764,10,-3.311,0,0.1,0.0317,2.73e-05,0.0579,0.885,114.033,3yWHQ4n4ARLDfYTuT2NhnN,spotify:track:3yWHQ4n4ARLDfYTuT2NhnN,149605,4,78,78805
14,0.859,0.776,0,-4.028,1,0.0749,0.0508,1.07e-06,0.0263,0.222,130.008,6ojrj2NSj3EkMm05yiuaMG,spotify:track:6ojrj2NSj3EkMm05yiuaMG,157846,4,73,944227
15,0.594,0.746,7,-5.853,0,0.137,0.188,0.0,0.0991,0.0802,164.231,01DXwNf1GzEJkYTbXgL0eb,spotify:track:01DXwNf1GzEJkYTbXgL0eb,172654,4,77,839303
16,0.644,0.904,0,-3.749,1,0.0605,0.0372,0.0,0.0767,0.562,130.061,22gH5Qg5j5ZzF7LaR7Nrkj,spotify:track:22gH5Qg5j5ZzF7LaR7Nrkj,182308,4,77,1060190
17,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4Dvkj6JhhA12EX05fT7y2e,spotify:track:4Dvkj6JhhA12EX05fT7y2e,167303,4,94,22055551
18,0.823,0.802,9,-2.666,0,0.0647,0.183,0.000325,0.392,0.831,112.078,0N8UI3JyFSif4lKWLbb0mL,spotify:track:0N8UI3JyFSif4lKWLbb0mL,158571,4,62,1782528
19,0.713,0.862,2,-2.9,1,0.0423,0.0695,3.95e-06,0.0847,0.691,130.139,7I9l9qOYfdUMuSO6Q4VQtZ,spotify:track:7I9l9qOYfdUMuSO6Q4VQtZ,145846,4,64,84655
20,0.592,0.603,0,-5.403,1,0.0933,0.176,0.0,0.123,0.437,145.94,5a6ABzVhqgVKI1znaI9tar,spotify:track:5a6ABzVhqgVKI1znaI9tar,198082,4,67,106010
21,0.719,0.797,11,-6.795,0,0.134,0.0281,0.0,0.134,0.58,128.044,6dMvLEipqRW6vh8Bt5PbOg,spotify:track:6dMvLEipqRW6vh8Bt5PbOg,162656,4,73,498971
22,0.762,0.609,8,-5.934,0,0.0369,0.042,2.78e-06,0.25,0.266,99.971,7d7xucQmFY7PoESyJm2V9J,spotify:track:7d7xucQmFY7PoESyJm2V9J,166796,4,76,4857551
23,0.81,0.734,11,-6.665,0,0.0544,0.0986,0.0,0.355,0.317,107.993,5KkcthkQDnlhQN0WhO8DsM,spotify:track:5KkcthkQDnlhQN0WhO8DsM,178714,4,77,498971
24,0.777,0.869,7,-5.159,0,0.0945,0.00083,0.000653,0.375,0.681,124.007,15223sfwoQj4IAJL8GSnfO,spotify:track:15223sfwoQj4IAJL8GSnfO,183810,4,78,25050
25,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4zN21mbAuaD0WqtmaTZZeP,spotify:track:4zN21mbAuaD0WqtmaTZZeP,186662,4,88,156255
26,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,75FEaRjZTKLhTrFGsfMUXR,spotify:track:75FEaRjZTKLhTrFGsfMUXR,298933,4,97,1274013
27,0.642,0.588,8,-7.754,0,0.342,0.544,0.0,0.246,0.525,177.056,1fdL0yW2DHzcOOUF0fZFv8,spotify:track:1fdL0yW2DHzcOOUF0fZFv8,212285,3,75,397287
28,0.788,0.731,4,-6.082,0,0.047,0.0615,0.0,0.0997,0.258,127.03,0SsUOrXUM2gZxVLYizZfQZ,spotify:track:0SsUOrXUM2gZxVLYizZfQZ,188564,4,74,839303
29,0.727,0.833,4,-2.594,1,0.0316,0.349,0.0,0.232,0.86,130.024,16EJNayKtC09M0Fi7Py47s,spotify:track:16EJNayKtC09M0Fi7Py47s,168000,4,76,1060190
30,0.677,0.66,1,-7.104,1,0.0462,0.248,0.0,0.177,0.253,127.087,0OHD6Ask31KqVqxge0OwlG,spotify:track:0OHD6Ask31KqVqxge0OwlG,172762,4,73,2771007
31,0.854,0.682,7,-5.212,1,0.053,0.335,0.000926,0.0569,0.507,140.019,7Bz5B6hEU5TS145QYTfc3k,spotify:track:7Bz5B6hEU5TS145QYTfc3k,157714,4,72,3358888
32,0.814,0.683,9,-4.629,1,0.167,0.1,0.0,0.0747,0.663,129.901,7hHdj3YuX1TExCY0Sx5zqb,spotify:track:7hHdj3YuX1TExCY0Sx5zqb,166214,4,60,740086
33,0.613,0.829,7,-4.103,0,0.0783,0.153,0.0,0.304,0.796,141.968,7aoU4HfD4yc1LhpyldWFtm,spotify:track:7aoU4HfD4yc1LhpyldWFtm,181056,4,72,709393
34,0.833,0.728,8,-4.059,1,0.19,0.0455,0.0,0.262,0.672,126.934,74lz9d1soQih0k9QtN0acn,spotify:track:74lz9d1soQih0k9QtN0acn,154961,4,73,55469
35,0.863,0.612,1,-8.357,1,0.282,0.384,0.0,0.144,0.341,118.975,4dNo8BDY0ZU7fJhiTQZuIq,spotify:track:4dNo8BDY0ZU7fJhiTQZuIq,197647,4,71,206620
36,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,2DB4DdfCFMw1iaR6JaR03a,spotify:track:2DB4DdfCFMw1iaR6JaR03a,206071,4,85,27374504
37,0.829,0.808,11,-5.734,0,0.257,0.379,3.01e-06,0.0735,0.57,142.952,4lstxdn27jZqnTuyaLeJfq,spotify:track:4lstxdn27jZqnTuyaLeJfq,174545,4,74,206620
38,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,3uUuGVFu1V7jTQL60S1r8z,spotify:track:3uUuGVFu1V7jTQL60S1r8z,148197,4,91,2452721
39,0.699,0.783,0,-5.217,0,0.0533,0.0933,0.0,0.125,0.429,119.959,32KxxVUfXnbdujTh5DGmgu,spotify:track:32KxxVUfXnbdujTh5DGmgu,164000,4,65,709393
40,0.381,0.627,4,-5.446,0,0.114,0.232,0.0,0.0803,0.458,187.835,6BUueuMQR4k7CuoMEsnGou,spotify:track:6BUueuMQR4k7CuoMEsnGou,155863,5,74,839303
41,0.79,0.683,10,-6.788,0,0.224,0.0553,0.0,0.0754,0.58,143.074,48xCJ298GWpAtejk8uzBOr,spotify:track:48xCJ298GWpAtejk8uzBOr,176245,4,57,740086
42,0.878,0.875,1,-4.923,1,0.0658,0.0507,3.42e-05,0.356,0.84,124.006,6jcfITWcR5egvbD4fsGayr,spotify:track:6jcfITWcR5egvbD4fsGayr,189880,4,70,847610
43,0.708,0.767,8,-5.687,0,0.05,0.00569,2.49e-05,0.119,0.776,154.986,0b53fWGqxHfsdyzkwlEFFl,spotify:track:0b53fWGqxHfsdyzkwlEFFl,165867,4,65,2856835
44,0.477,0.844,11,-4.87,1,0.0458,0.00273,0.0,0.137,0.203,169.941,1x3Qb8np6S1UvpSLthwEJN,spotify:track:1x3Qb8np6S1UvpSLthwEJN,220235,4,74,1060190
45,0.599,0.79,6,-3.242,1,0.0422,0.359,0.0,0.105,0.693,75.004,1PWOkqMORYdGa0OEh2GaXM,spotify:track:1PWOkqMORYdGa0OEh2GaXM,176400,4,71,1060190
46,0.523,0.614,7,-4.435,1,0.0347,0.448,0.0,0.254,0.342,122.962,1ZMGp9MTXbtAPvcKa0U3zS,spotify:track:1ZMGp9MTXbtAPvcKa0U3zS,199146,4,77,1092537
47,0.613,0.96,5,-4.343,0,0.0542,0.265,0.0,0.24,0.669,159.98,6SQmh0L5icrThwGDTeLkg1,spotify:track:6SQmh0L5icrThwGDTeLkg1,160205,4,70,839303
48,0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,1O2pcBJGej0pmH2Y9XZMs6,spotify:track:1O2pcBJGej0pmH2Y9XZMs6,153750,4,92,472825
49,0.636,0.876,7,-3.413,1,0.0555,0.00164,0.0,0.117,0.799,120.983,63WuQOXohQIxOxIFA2K7bR,spotify:track:63WuQOXohQIxOxIFA2K7bR,148064,4,87,6215526
0,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,2tTmW7RDtMQtBk7m2rYeSw,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,198938,4,92,5952347
1,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,243717,4,98,51639438
2,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,6Sq7ltF9Qa7SNFBsV5Cogx,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,178567,4,100,51639438
3,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,237895,4,94,51639438
4,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,spotify:track:5ww2BF9slyYgNOk37BlC4u,162638,4,85,9887120
5,0.762,0.85,7,-5.303,1,0.141,0.154,0.000398,0.0474,0.747,105.444,4aYd4OvURiE7jrnkdbwk0t,spotify:track:4aYd4OvURiE7jrnkdbwk0t,178187,4,76,426025
