Depth,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14

2,0.8648993848399542,0.8641174017307893,0.8757220310707956,0.8663642998644564,0.8836982587842769,0.8916379939526639,0.8787613387550831,0.8960066729225314,0.8750703784798249,0.8959649671567093

3,0.868506933583568,0.867771869460953,0.8880617245334168,0.8648628922948598,0.8866124491710978,0.874356167240121,0.8844437493483474,0.8901417996037952,0.9032582629548536,0.8851371077051402

4,0.8569805025544781,0.8518871859034511,0.8750130330518194,0.8670055260139715,0.856360129287874,0.8786414346783443,0.8692941299134607,0.8765352935043269,0.8909759149202378,0.8902043582525284

5,0.8627723907830257,0.8742831821499323,0.8816025440517151,0.8771817328745699,0.8837451777708267,0.8887550828902094,0.8887915754353038,0.8909289959336878,,0.9003753518923991

---------------------------------------------------

Depth,T30,T31,T32

3,0.9377593577312062,,0.9399124178917735

4,0.9377541445104786,0.9370399332707746,0.9428109686164111

5,,0.9420915441559796,0.9406370555729329

6,0.9384631425294548,0.9370399332707748,0.9435408195182984

7,,0.9399176311125013,0.941372119695548

---------------------------------------------------

Depth,T24,T25,T26

4,,0.9414086122406422,0.9378010634970284

5,,0.9341622354290481,0.9399645500990512

6,0.9356219372328223,0.9442706704201855,0.9377958502763007

7,,0.9414086122406424,
