,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.675,0.739,6,-4.603,0,0.0524,0.387,0.0,0.177,0.338,149.959,audio_features,3gUzi41YOt3VExeyHSLsMj,spotify:track:3gUzi41YOt3VExeyHSLsMj,https://api.spotify.com/v1/tracks/3gUzi41YOt3VExeyHSLsMj,https://api.spotify.com/v1/audio-analysis/3gUzi41YOt3VExeyHSLsMj,237701,4
1,0.855,0.805,7,-5.651,0,0.191,0.764,0.00708,0.302,0.469,135.009,audio_features,4EC028SvtlC25iHQSG2OIa,spotify:track:4EC028SvtlC25iHQSG2OIa,https://api.spotify.com/v1/tracks/4EC028SvtlC25iHQSG2OIa,https://api.spotify.com/v1/audio-analysis/4EC028SvtlC25iHQSG2OIa,195556,4
2,0.737,0.858,8,-3.589,1,0.0527,0.0124,0.0,0.382,0.919,144.991,audio_features,1A2tINguEx8NRA8WHmpUJw,spotify:track:1A2tINguEx8NRA8WHmpUJw,https://api.spotify.com/v1/tracks/1A2tINguEx8NRA8WHmpUJw,https://api.spotify.com/v1/audio-analysis/1A2tINguEx8NRA8WHmpUJw,187862,4
3,0.889,0.618,5,-5.124,0,0.0627,0.367,0.00438,0.105,0.444,130.021,audio_features,3h043RAJ7tKaG1HDFeet6w,spotify:track:3h043RAJ7tKaG1HDFeet6w,https://api.spotify.com/v1/tracks/3h043RAJ7tKaG1HDFeet6w,https://api.spotify.com/v1/audio-analysis/3h043RAJ7tKaG1HDFeet6w,247385,4
4,0.739,0.81,11,-5.317,0,0.0311,0.0409,0.0,0.122,0.948,127.972,audio_features,7iLuBTHJSXM2HalKHFqEEy,spotify:track:7iLuBTHJSXM2HalKHFqEEy,https://api.spotify.com/v1/tracks/7iLuBTHJSXM2HalKHFqEEy,https://api.spotify.com/v1/audio-analysis/7iLuBTHJSXM2HalKHFqEEy,212967,4
5,0.803,0.709,9,-6.54,0,0.0432,0.0769,0.0,0.286,0.706,121.947,audio_features,3fIB4IEcvjlzItwnFUvIBk,spotify:track:3fIB4IEcvjlzItwnFUvIBk,https://api.spotify.com/v1/tracks/3fIB4IEcvjlzItwnFUvIBk,https://api.spotify.com/v1/audio-analysis/3fIB4IEcvjlzItwnFUvIBk,164328,4
6,0.927,0.591,11,-5.69,1,0.119,0.0165,2.87e-06,0.208,0.752,120.036,audio_features,3YjriLRvztHSDJOZRTTiQz,spotify:track:3YjriLRvztHSDJOZRTTiQz,https://api.spotify.com/v1/tracks/3YjriLRvztHSDJOZRTTiQz,https://api.spotify.com/v1/audio-analysis/3YjriLRvztHSDJOZRTTiQz,172000,4
7,0.661,0.775,6,-5.656,0,0.0378,0.123,0.0,0.237,0.81,139.975,audio_features,1v9ABGLSpdhPDEWyQ10NFD,spotify:track:1v9ABGLSpdhPDEWyQ10NFD,https://api.spotify.com/v1/tracks/1v9ABGLSpdhPDEWyQ10NFD,https://api.spotify.com/v1/audio-analysis/1v9ABGLSpdhPDEWyQ10NFD,212985,4
8,0.742,0.808,4,-5.206,1,0.059,0.279,9.85e-06,0.325,0.846,74.992,audio_features,3z0GeNGWyVduziP1cQ0mFN,spotify:track:3z0GeNGWyVduziP1cQ0mFN,https://api.spotify.com/v1/tracks/3z0GeNGWyVduziP1cQ0mFN,https://api.spotify.com/v1/audio-analysis/3z0GeNGWyVduziP1cQ0mFN,160000,4
9,0.683,0.852,0,-2.755,1,0.0636,0.0454,0.0,0.246,0.448,93.068,audio_features,1XpmMe95dk9jh3zuOMpeU2,spotify:track:1XpmMe95dk9jh3zuOMpeU2,https://api.spotify.com/v1/tracks/1XpmMe95dk9jh3zuOMpeU2,https://api.spotify.com/v1/audio-analysis/1XpmMe95dk9jh3zuOMpeU2,199680,4
10,0.848,0.803,2,-5.883,1,0.144,0.0771,0.0,0.297,0.864,127.972,audio_features,4aKM9cfIDynkoNQdVyMZFW,spotify:track:4aKM9cfIDynkoNQdVyMZFW,https://api.spotify.com/v1/tracks/4aKM9cfIDynkoNQdVyMZFW,https://api.spotify.com/v1/audio-analysis/4aKM9cfIDynkoNQdVyMZFW,197760,4
11,0.481,0.748,6,-6.007,0,0.356,0.132,7.77e-06,0.126,0.549,128.777,audio_features,6oYcyS6salzWI1ysjEScFh,spotify:track:6oYcyS6salzWI1ysjEScFh,https://api.spotify.com/v1/tracks/6oYcyS6salzWI1ysjEScFh,https://api.spotify.com/v1/audio-analysis/6oYcyS6salzWI1ysjEScFh,188975,4
12,0.796,0.842,7,-6.94,1,0.231,0.033,5.2e-05,0.178,0.691,126.008,audio_features,0RFRr1i6USZRE66r5vB9OT,spotify:track:0RFRr1i6USZRE66r5vB9OT,https://api.spotify.com/v1/tracks/0RFRr1i6USZRE66r5vB9OT,https://api.spotify.com/v1/audio-analysis/0RFRr1i6USZRE66r5vB9OT,171905,4
13,0.819,0.764,10,-3.311,0,0.1,0.0317,2.73e-05,0.0579,0.885,114.033,audio_features,3yWHQ4n4ARLDfYTuT2NhnN,spotify:track:3yWHQ4n4ARLDfYTuT2NhnN,https://api.spotify.com/v1/tracks/3yWHQ4n4ARLDfYTuT2NhnN,https://api.spotify.com/v1/audio-analysis/3yWHQ4n4ARLDfYTuT2NhnN,149605,4
14,0.859,0.776,0,-4.028,1,0.0749,0.0508,1.07e-06,0.0263,0.222,130.008,audio_features,6ojrj2NSj3EkMm05yiuaMG,spotify:track:6ojrj2NSj3EkMm05yiuaMG,https://api.spotify.com/v1/tracks/6ojrj2NSj3EkMm05yiuaMG,https://api.spotify.com/v1/audio-analysis/6ojrj2NSj3EkMm05yiuaMG,157846,4
15,0.594,0.746,7,-5.853,0,0.137,0.188,0.0,0.0991,0.0802,164.231,audio_features,01DXwNf1GzEJkYTbXgL0eb,spotify:track:01DXwNf1GzEJkYTbXgL0eb,https://api.spotify.com/v1/tracks/01DXwNf1GzEJkYTbXgL0eb,https://api.spotify.com/v1/audio-analysis/01DXwNf1GzEJkYTbXgL0eb,172654,4
16,0.644,0.904,0,-3.749,1,0.0605,0.0372,0.0,0.0767,0.562,130.061,audio_features,22gH5Qg5j5ZzF7LaR7Nrkj,spotify:track:22gH5Qg5j5ZzF7LaR7Nrkj,https://api.spotify.com/v1/tracks/22gH5Qg5j5ZzF7LaR7Nrkj,https://api.spotify.com/v1/audio-analysis/22gH5Qg5j5ZzF7LaR7Nrkj,182308,4
17,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4Dvkj6JhhA12EX05fT7y2e,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303,4
18,0.823,0.802,9,-2.666,0,0.0647,0.183,0.000325,0.392,0.831,112.078,audio_features,0N8UI3JyFSif4lKWLbb0mL,spotify:track:0N8UI3JyFSif4lKWLbb0mL,https://api.spotify.com/v1/tracks/0N8UI3JyFSif4lKWLbb0mL,https://api.spotify.com/v1/audio-analysis/0N8UI3JyFSif4lKWLbb0mL,158571,4
19,0.713,0.862,2,-2.9,1,0.0423,0.0695,3.95e-06,0.0847,0.691,130.139,audio_features,7I9l9qOYfdUMuSO6Q4VQtZ,spotify:track:7I9l9qOYfdUMuSO6Q4VQtZ,https://api.spotify.com/v1/tracks/7I9l9qOYfdUMuSO6Q4VQtZ,https://api.spotify.com/v1/audio-analysis/7I9l9qOYfdUMuSO6Q4VQtZ,145846,4
20,0.592,0.603,0,-5.403,1,0.0933,0.176,0.0,0.123,0.437,145.94,audio_features,5a6ABzVhqgVKI1znaI9tar,spotify:track:5a6ABzVhqgVKI1znaI9tar,https://api.spotify.com/v1/tracks/5a6ABzVhqgVKI1znaI9tar,https://api.spotify.com/v1/audio-analysis/5a6ABzVhqgVKI1znaI9tar,198082,4
21,0.719,0.797,11,-6.795,0,0.134,0.0281,0.0,0.134,0.58,128.044,audio_features,6dMvLEipqRW6vh8Bt5PbOg,spotify:track:6dMvLEipqRW6vh8Bt5PbOg,https://api.spotify.com/v1/tracks/6dMvLEipqRW6vh8Bt5PbOg,https://api.spotify.com/v1/audio-analysis/6dMvLEipqRW6vh8Bt5PbOg,162656,4
22,0.762,0.609,8,-5.934,0,0.0369,0.042,2.78e-06,0.25,0.266,99.971,audio_features,7d7xucQmFY7PoESyJm2V9J,spotify:track:7d7xucQmFY7PoESyJm2V9J,https://api.spotify.com/v1/tracks/7d7xucQmFY7PoESyJm2V9J,https://api.spotify.com/v1/audio-analysis/7d7xucQmFY7PoESyJm2V9J,166796,4
23,0.81,0.734,11,-6.665,0,0.0544,0.0986,0.0,0.355,0.317,107.993,audio_features,5KkcthkQDnlhQN0WhO8DsM,spotify:track:5KkcthkQDnlhQN0WhO8DsM,https://api.spotify.com/v1/tracks/5KkcthkQDnlhQN0WhO8DsM,https://api.spotify.com/v1/audio-analysis/5KkcthkQDnlhQN0WhO8DsM,178714,4
24,0.777,0.869,7,-5.159,0,0.0945,0.00083,0.000653,0.375,0.681,124.007,audio_features,15223sfwoQj4IAJL8GSnfO,spotify:track:15223sfwoQj4IAJL8GSnfO,https://api.spotify.com/v1/tracks/15223sfwoQj4IAJL8GSnfO,https://api.spotify.com/v1/audio-analysis/15223sfwoQj4IAJL8GSnfO,183810,4
25,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,audio_features,4zN21mbAuaD0WqtmaTZZeP,spotify:track:4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/tracks/4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/audio-analysis/4zN21mbAuaD0WqtmaTZZeP,186662,4
26,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,audio_features,75FEaRjZTKLhTrFGsfMUXR,spotify:track:75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,298933,4
27,0.642,0.588,8,-7.754,0,0.342,0.544,0.0,0.246,0.525,177.056,audio_features,1fdL0yW2DHzcOOUF0fZFv8,spotify:track:1fdL0yW2DHzcOOUF0fZFv8,https://api.spotify.com/v1/tracks/1fdL0yW2DHzcOOUF0fZFv8,https://api.spotify.com/v1/audio-analysis/1fdL0yW2DHzcOOUF0fZFv8,212285,3
28,0.788,0.731,4,-6.082,0,0.047,0.0615,0.0,0.0997,0.258,127.03,audio_features,0SsUOrXUM2gZxVLYizZfQZ,spotify:track:0SsUOrXUM2gZxVLYizZfQZ,https://api.spotify.com/v1/tracks/0SsUOrXUM2gZxVLYizZfQZ,https://api.spotify.com/v1/audio-analysis/0SsUOrXUM2gZxVLYizZfQZ,188564,4
29,0.727,0.833,4,-2.594,1,0.0316,0.349,0.0,0.232,0.86,130.024,audio_features,16EJNayKtC09M0Fi7Py47s,spotify:track:16EJNayKtC09M0Fi7Py47s,https://api.spotify.com/v1/tracks/16EJNayKtC09M0Fi7Py47s,https://api.spotify.com/v1/audio-analysis/16EJNayKtC09M0Fi7Py47s,168000,4
30,0.677,0.66,1,-7.104,1,0.0462,0.248,0.0,0.177,0.253,127.087,audio_features,0OHD6Ask31KqVqxge0OwlG,spotify:track:0OHD6Ask31KqVqxge0OwlG,https://api.spotify.com/v1/tracks/0OHD6Ask31KqVqxge0OwlG,https://api.spotify.com/v1/audio-analysis/0OHD6Ask31KqVqxge0OwlG,172762,4
31,0.854,0.682,7,-5.212,1,0.053,0.335,0.000926,0.0569,0.507,140.019,audio_features,7Bz5B6hEU5TS145QYTfc3k,spotify:track:7Bz5B6hEU5TS145QYTfc3k,https://api.spotify.com/v1/tracks/7Bz5B6hEU5TS145QYTfc3k,https://api.spotify.com/v1/audio-analysis/7Bz5B6hEU5TS145QYTfc3k,157714,4
32,0.814,0.683,9,-4.629,1,0.167,0.1,0.0,0.0747,0.663,129.901,audio_features,7hHdj3YuX1TExCY0Sx5zqb,spotify:track:7hHdj3YuX1TExCY0Sx5zqb,https://api.spotify.com/v1/tracks/7hHdj3YuX1TExCY0Sx5zqb,https://api.spotify.com/v1/audio-analysis/7hHdj3YuX1TExCY0Sx5zqb,166214,4
33,0.613,0.829,7,-4.103,0,0.0783,0.153,0.0,0.304,0.796,141.968,audio_features,7aoU4HfD4yc1LhpyldWFtm,spotify:track:7aoU4HfD4yc1LhpyldWFtm,https://api.spotify.com/v1/tracks/7aoU4HfD4yc1LhpyldWFtm,https://api.spotify.com/v1/audio-analysis/7aoU4HfD4yc1LhpyldWFtm,181056,4
34,0.833,0.728,8,-4.059,1,0.19,0.0455,0.0,0.262,0.672,126.934,audio_features,74lz9d1soQih0k9QtN0acn,spotify:track:74lz9d1soQih0k9QtN0acn,https://api.spotify.com/v1/tracks/74lz9d1soQih0k9QtN0acn,https://api.spotify.com/v1/audio-analysis/74lz9d1soQih0k9QtN0acn,154961,4
35,0.863,0.612,1,-8.357,1,0.282,0.384,0.0,0.144,0.341,118.975,audio_features,4dNo8BDY0ZU7fJhiTQZuIq,spotify:track:4dNo8BDY0ZU7fJhiTQZuIq,https://api.spotify.com/v1/tracks/4dNo8BDY0ZU7fJhiTQZuIq,https://api.spotify.com/v1/audio-analysis/4dNo8BDY0ZU7fJhiTQZuIq,197647,4
36,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,audio_features,2DB4DdfCFMw1iaR6JaR03a,spotify:track:2DB4DdfCFMw1iaR6JaR03a,https://api.spotify.com/v1/tracks/2DB4DdfCFMw1iaR6JaR03a,https://api.spotify.com/v1/audio-analysis/2DB4DdfCFMw1iaR6JaR03a,206071,4
37,0.829,0.808,11,-5.734,0,0.257,0.379,3.01e-06,0.0735,0.57,142.952,audio_features,4lstxdn27jZqnTuyaLeJfq,spotify:track:4lstxdn27jZqnTuyaLeJfq,https://api.spotify.com/v1/tracks/4lstxdn27jZqnTuyaLeJfq,https://api.spotify.com/v1/audio-analysis/4lstxdn27jZqnTuyaLeJfq,174545,4
38,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,audio_features,3uUuGVFu1V7jTQL60S1r8z,spotify:track:3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/tracks/3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/audio-analysis/3uUuGVFu1V7jTQL60S1r8z,148197,4
39,0.699,0.783,0,-5.217,0,0.0533,0.0933,0.0,0.125,0.429,119.959,audio_features,32KxxVUfXnbdujTh5DGmgu,spotify:track:32KxxVUfXnbdujTh5DGmgu,https://api.spotify.com/v1/tracks/32KxxVUfXnbdujTh5DGmgu,https://api.spotify.com/v1/audio-analysis/32KxxVUfXnbdujTh5DGmgu,164000,4
