,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,audio_features,17i5jLpzndlQhbS4SrTd0B,spotify:track:17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/tracks/17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/audio-analysis/17i5jLpzndlQhbS4SrTd0B,152280,4
1,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63,audio_features,4SFBV7SRNG2e2kyL1F6kjU,spotify:track:4SFBV7SRNG2e2kyL1F6kjU,https://api.spotify.com/v1/tracks/4SFBV7SRNG2e2kyL1F6kjU,https://api.spotify.com/v1/audio-analysis/4SFBV7SRNG2e2kyL1F6kjU,139307,4
2,0.289,0.0306,9,-30.79,0,0.0446,0.987,0.911,0.102,0.118,125.61,audio_features,3zLTPuucd3e6TxZnu2dlVS,spotify:track:3zLTPuucd3e6TxZnu2dlVS,https://api.spotify.com/v1/tracks/3zLTPuucd3e6TxZnu2dlVS,https://api.spotify.com/v1/audio-analysis/3zLTPuucd3e6TxZnu2dlVS,212067,3
3,0.0753,0.07,2,-27.272,1,0.044,0.918,0.947,0.146,0.0625,79.801,audio_features,7h6GoPvGHC9uzZJ8bNvfIq,spotify:track:7h6GoPvGHC9uzZJ8bNvfIq,https://api.spotify.com/v1/tracks/7h6GoPvGHC9uzZJ8bNvfIq,https://api.spotify.com/v1/audio-analysis/7h6GoPvGHC9uzZJ8bNvfIq,365147,4
4,0.13,0.158,2,-16.132,1,0.035,0.748,0.924,0.1,0.0998,85.031,audio_features,5x3TUfYzgZIdt0Kaop64ss,spotify:track:5x3TUfYzgZIdt0Kaop64ss,https://api.spotify.com/v1/tracks/5x3TUfYzgZIdt0Kaop64ss,https://api.spotify.com/v1/audio-analysis/5x3TUfYzgZIdt0Kaop64ss,302093,4
5,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,audio_features,1upQiytDIEZfl9ItruoXuC,spotify:track:1upQiytDIEZfl9ItruoXuC,https://api.spotify.com/v1/tracks/1upQiytDIEZfl9ItruoXuC,https://api.spotify.com/v1/audio-analysis/1upQiytDIEZfl9ItruoXuC,207267,3
6,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,audio_features,5fdp9rXfEixCGLM1Og4EN1,spotify:track:5fdp9rXfEixCGLM1Og4EN1,https://api.spotify.com/v1/tracks/5fdp9rXfEixCGLM1Og4EN1,https://api.spotify.com/v1/audio-analysis/5fdp9rXfEixCGLM1Og4EN1,296480,4
7,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,audio_features,0jOnZhF75V68VsBObWx2XO,spotify:track:0jOnZhF75V68VsBObWx2XO,https://api.spotify.com/v1/tracks/0jOnZhF75V68VsBObWx2XO,https://api.spotify.com/v1/audio-analysis/0jOnZhF75V68VsBObWx2XO,174267,3
8,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,audio_features,1cmigB9I6IRpFqjIbzvSQB,spotify:track:1cmigB9I6IRpFqjIbzvSQB,https://api.spotify.com/v1/tracks/1cmigB9I6IRpFqjIbzvSQB,https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB,294960,3
9,0.205,0.0686,4,-23.415,0,0.0462,0.873,0.402,0.0909,0.0359,90.779,audio_features,6Uk28Hs2MulezLxMrd1rBD,spotify:track:6Uk28Hs2MulezLxMrd1rBD,https://api.spotify.com/v1/tracks/6Uk28Hs2MulezLxMrd1rBD,https://api.spotify.com/v1/audio-analysis/6Uk28Hs2MulezLxMrd1rBD,337253,1
