,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866,audio_features,1pZn8AX1WulW8IO338hE5D,spotify:track:1pZn8AX1WulW8IO338hE5D,https://api.spotify.com/v1/tracks/1pZn8AX1WulW8IO338hE5D,https://api.spotify.com/v1/audio-analysis/1pZn8AX1WulW8IO338hE5D,207827,4
1,0.488,0.124,3,-13.038,1,0.0404,0.963,0.333,0.246,0.205,66.105,audio_features,016HKF7A4O7tatoJ9BgZM1,spotify:track:016HKF7A4O7tatoJ9BgZM1,https://api.spotify.com/v1/tracks/016HKF7A4O7tatoJ9BgZM1,https://api.spotify.com/v1/audio-analysis/016HKF7A4O7tatoJ9BgZM1,255960,4
2,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.521,audio_features,6yKkA8HzwWTZ5taIMaG4Nm,spotify:track:6yKkA8HzwWTZ5taIMaG4Nm,https://api.spotify.com/v1/tracks/6yKkA8HzwWTZ5taIMaG4Nm,https://api.spotify.com/v1/audio-analysis/6yKkA8HzwWTZ5taIMaG4Nm,297320,4
3,0.511,0.193,7,-15.148,1,0.0439,0.809,2.17e-05,0.129,0.164,116.348,audio_features,4Y5fyQ5fBysC32Na5sZT3J,spotify:track:4Y5fyQ5fBysC32Na5sZT3J,https://api.spotify.com/v1/tracks/4Y5fyQ5fBysC32Na5sZT3J,https://api.spotify.com/v1/audio-analysis/4Y5fyQ5fBysC32Na5sZT3J,305187,4
4,0.405,0.0277,3,-21.897,1,0.033,0.97,0.535,0.114,0.279,51.059,audio_features,2GIqdPK9c8npWf07kU6bqH,spotify:track:2GIqdPK9c8npWf07kU6bqH,https://api.spotify.com/v1/tracks/2GIqdPK9c8npWf07kU6bqH,https://api.spotify.com/v1/audio-analysis/2GIqdPK9c8npWf07kU6bqH,222360,4
5,0.425,0.0469,7,-18.612,0,0.0354,0.955,0.0,0.137,0.154,135.335,audio_features,0f2489MzoisF9pKduawvce,spotify:track:0f2489MzoisF9pKduawvce,https://api.spotify.com/v1/tracks/0f2489MzoisF9pKduawvce,https://api.spotify.com/v1/audio-analysis/0f2489MzoisF9pKduawvce,356627,4
6,0.474,0.0676,9,-16.101,0,0.0363,0.963,0.00291,0.14,0.248,115.713,audio_features,0uPkCpuoERqrkBL06Art50,spotify:track:0uPkCpuoERqrkBL06Art50,https://api.spotify.com/v1/tracks/0uPkCpuoERqrkBL06Art50,https://api.spotify.com/v1/audio-analysis/0uPkCpuoERqrkBL06Art50,295240,3
7,0.605,0.376,5,-14.978,1,0.0322,0.253,0.207,0.117,0.948,131.927,audio_features,5z7deaTe21B7QVPhSDouL1,spotify:track:5z7deaTe21B7QVPhSDouL1,https://api.spotify.com/v1/tracks/5z7deaTe21B7QVPhSDouL1,https://api.spotify.com/v1/audio-analysis/5z7deaTe21B7QVPhSDouL1,370867,4
8,0.541,0.607,0,-8.435,1,0.0438,0.727,0.442,0.0997,0.754,104.96,audio_features,0zQE77yszbyv61M4NboU2u,spotify:track:0zQE77yszbyv61M4NboU2u,https://api.spotify.com/v1/tracks/0zQE77yszbyv61M4NboU2u,https://api.spotify.com/v1/audio-analysis/0zQE77yszbyv61M4NboU2u,406267,4
9,0.542,0.32,8,-9.975,1,0.0387,0.907,0.649,0.0609,0.206,116.648,audio_features,1wl5b2lw3YagQtZiYZbQWP,spotify:track:1wl5b2lw3YagQtZiYZbQWP,https://api.spotify.com/v1/tracks/1wl5b2lw3YagQtZiYZbQWP,https://api.spotify.com/v1/audio-analysis/1wl5b2lw3YagQtZiYZbQWP,193840,4
