,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.663,0.777,11,-4.954,0,0.109,0.277,0.0,0.0466,0.758,92.681,audio_features,5MTqczrMNkxZbFghiopgHL,spotify:track:5MTqczrMNkxZbFghiopgHL,https://api.spotify.com/v1/tracks/5MTqczrMNkxZbFghiopgHL,https://api.spotify.com/v1/audio-analysis/5MTqczrMNkxZbFghiopgHL,270507,4
1,0.893,0.74,11,-4.936,0,0.132,0.299,0.0,0.0881,0.963,101.025,audio_features,4675yUu8AUbE72T94BkLCD,spotify:track:4675yUu8AUbE72T94BkLCD,https://api.spotify.com/v1/tracks/4675yUu8AUbE72T94BkLCD,https://api.spotify.com/v1/audio-analysis/4675yUu8AUbE72T94BkLCD,299147,4
2,0.701,0.728,2,-4.554,1,0.255,0.00971,0.00115,0.361,0.0591,171.388,audio_features,7w9bgPAmPTtrkt2v16QWvQ,spotify:track:7w9bgPAmPTtrkt2v16QWvQ,https://api.spotify.com/v1/tracks/7w9bgPAmPTtrkt2v16QWvQ,https://api.spotify.com/v1/audio-analysis/7w9bgPAmPTtrkt2v16QWvQ,326467,4
3,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,audio_features,7iL6o9tox1zgHpKUfh9vuC,spotify:track:7iL6o9tox1zgHpKUfh9vuC,https://api.spotify.com/v1/tracks/7iL6o9tox1zgHpKUfh9vuC,https://api.spotify.com/v1/audio-analysis/7iL6o9tox1zgHpKUfh9vuC,193467,4
4,0.551,0.851,1,-3.277,1,0.197,0.0748,0.0,0.0784,0.1,171.411,audio_features,6yr8GiTHWvFfi4o6Q5ebdT,spotify:track:6yr8GiTHWvFfi4o6Q5ebdT,https://api.spotify.com/v1/tracks/6yr8GiTHWvFfi4o6Q5ebdT,https://api.spotify.com/v1/audio-analysis/6yr8GiTHWvFfi4o6Q5ebdT,297893,4
5,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,audio_features,68vgtRHr7iZHpzGpon6Jlo,spotify:track:68vgtRHr7iZHpzGpon6Jlo,https://api.spotify.com/v1/tracks/68vgtRHr7iZHpzGpon6Jlo,https://api.spotify.com/v1/audio-analysis/68vgtRHr7iZHpzGpon6Jlo,223440,4
6,0.621,0.672,4,-3.892,0,0.276,0.21,0.0,0.13,0.228,83.808,audio_features,17baAghWcrewNOcc9dCewx,spotify:track:17baAghWcrewNOcc9dCewx,https://api.spotify.com/v1/tracks/17baAghWcrewNOcc9dCewx,https://api.spotify.com/v1/audio-analysis/17baAghWcrewNOcc9dCewx,251267,4
7,0.73,0.552,2,-8.177,0,0.146,0.18,6.14e-05,0.224,0.613,168.091,audio_features,4nthV2eZAXnt4yiJMocLkG,spotify:track:4nthV2eZAXnt4yiJMocLkG,https://api.spotify.com/v1/tracks/4nthV2eZAXnt4yiJMocLkG,https://api.spotify.com/v1/audio-analysis/4nthV2eZAXnt4yiJMocLkG,289173,4
8,0.707,0.587,6,-8.028,0,0.0734,0.505,0.0,0.111,0.473,87.048,audio_features,0oWtduQkXym87PPywvOOXv,spotify:track:0oWtduQkXym87PPywvOOXv,https://api.spotify.com/v1/tracks/0oWtduQkXym87PPywvOOXv,https://api.spotify.com/v1/audio-analysis/0oWtduQkXym87PPywvOOXv,169432,4
9,0.892,0.628,1,-3.832,1,0.216,0.169,0.0,0.102,0.676,92.063,audio_features,6HHytHLXLX8QfWTtGfFSvH,spotify:track:6HHytHLXLX8QfWTtGfFSvH,https://api.spotify.com/v1/tracks/6HHytHLXLX8QfWTtGfFSvH,https://api.spotify.com/v1/audio-analysis/6HHytHLXLX8QfWTtGfFSvH,266067,4
